# FRECHET
# genspc	taxon	samples	   llmt	 median	   rrmt	entropy	          a1         mu1      theta1      kappa1         mu2      theta2      kappa2          a2         mu3      theta3      kappa3       rRMSE        AIC         BIC
marafiar	 F_Ba	 98565	     16	   57.9	    361	-1.6430	  8.8625e-01 -5.3608e+00  6.0178e+01  1.0936e+01 -2.5313e+01  9.4254e+01  2.1975e+00  2.2342e-04  7.4568e+05  7.4574e+05
marcpoly	 P_Ma	 79794	     16	  234.4	   3680	-2.8349	  7.9994e-01  3.8431e+01  1.4387e+02  1.5727e+00 -4.0319e+02  6.3090e+02  4.4469e+00  9.0793e-05  1.0416e+06  1.0416e+06
marmmarm	 M_Mm	 179059	     26	 1319.4	 117489	-3.8831	  1.0328e-01  5.4784e+01  3.8518e+01  1.7359e+00 -4.5197e+02  7.0598e+02  5.0391e+00  1.5433e-01 -2.0063e+02  1.6717e+03  1.1746e+00  1.7485e-05  3.2005e+06  3.2006e+06
marsbrun	 F_As	 24650	     17	   66.0	    991	-2.2153	  4.3508e-01  3.3399e+01  1.7735e+01  3.5734e+00 -3.0244e+02  3.7657e+02  1.1737e+01  4.1918e-01 -2.2548e+02  4.5494e+02  3.4117e+00  3.7696e-04  2.5155e+05  2.5164e+05
martpter	 F_Fu	 5694	     16	  152.2	   2549	-2.7941	  2.2835e-01 -1.3066e+01  7.5225e+01  1.6655e+00 -7.4373e+01  1.8870e+02  8.6721e+00  3.4686e-01 -2.3418e+02  5.1460e+02  2.7098e+00  7.0949e-04  7.3285e+04  7.3359e+04
massebur	 F_As	 25613	     16	   56.6	    605	-1.8945	  7.2498e-01  3.7051e+01  1.4225e+01  2.6230e+00 -1.8746e+01  1.0051e+02  2.1962e+00  3.3098e-04  2.2346e+05  2.2352e+05
mayedest	 M_In	 2949	     17	   89.2	  12719	-2.4647	  6.8898e-01 -1.0693e+01  8.6421e+01  6.8152e+00 -3.0580e+01  2.5374e+02  1.0524e+00  7.2641e-04  3.3487e+04  3.3529e+04
maylzebr	 M_Fs	 246898	     23	  388.0	  50837	-3.3653	  1.7676e-01 -4.4022e+01  1.3165e+02  1.1701e+01  4.8434e+01  1.0727e+02  1.1204e+00  3.6535e-01 -1.5407e+02  1.0937e+03  1.1943e+00  2.0199e-05  3.8256e+06  3.8257e+06
meditrun	 P_Eu	 157294	     22	  208.0	   3923	-2.9514	  2.4087e-01 -2.8122e+02  3.7147e+02  3.0000e+01 -4.5050e+01  1.8675e+02  1.8973e+00  4.4253e-01 -5.6857e+02  1.1415e+03  3.2519e+00  6.8696e-05  2.1376e+06  2.1377e+06
megarotu	 M_In	 72456	     30	  119.0	 129542	-2.9646	  4.5615e-01 -1.0272e+02  1.7468e+02  1.5644e+01  2.1668e+01  2.8022e+02  7.6346e-01  1.1187e-04  9.8824e+05  9.8831e+05
megascal	 M_In	 15263	     16	  133.2	  12074	-2.9974	  2.7225e-01 -7.5062e+01  1.2999e+02  2.6112e+01 -5.0271e+00  1.1340e+02  1.0499e+00  5.1976e-01 -8.4322e+02  2.9029e+03  3.4808e+00  3.1000e-04  2.1096e+05  2.1104e+05
meirmilt	 F_Eu	 5165	     19	   71.4	   2372	-2.1978	  5.5488e-01 -1.0190e+02  1.6748e+02  2.7420e+01 -1.0619e+01  9.2449e+01  1.3798e+00  1.0806e-03  5.2244e+04  5.2290e+04
melalari	 F_Ba	 64830	     17	   80.0	   1182	-2.1243	  7.1448e-01 -1.4376e+02  2.1663e+02  1.8218e+01 -1.2648e+01  9.6360e+01  1.6031e+00  1.4512e-04  6.3429e+05  6.3436e+05
melapulv	 F_As	 30831	     16	   56.4	    630	-1.8783	  7.1836e-01  3.3277e+01  1.8332e+01  3.6310e+00 -2.1037e+01  1.0203e+02  2.1705e+00  3.6516e-04  2.6662e+05  2.6668e+05
melaspec	 F_As	 32974	     16	   72.7	   1383	-2.1802	  7.3489e-01  3.7574e+01  2.5363e+01  1.9796e+00 -3.1830e+00  9.2814e+01  1.4867e+00  1.9506e-04  3.3107e+05  3.3113e+05
melegall	 M_Av	 161042	     29	  825.1	  69854	-3.6616	  1.5206e-01  5.4980e+01  3.9803e+01  1.2870e+00 -7.7417e+01  8.0993e+02  1.1512e+00  2.2326e-05  2.7148e+06  2.7149e+06
melibico	 F_As	 42829	     16	   56.0	    724	-1.9287	  6.6128e-01  3.3077e+01  1.7502e+01  3.5825e+00 -1.1374e+01  8.8438e+01  1.9876e+00  2.2504e-04  3.8043e+05  3.8049e+05
melicinx	 M_In	 86014	     16	  598.8	  34175	-3.4982	  6.7833e-02  1.3894e+01  6.4800e+01  7.8201e+00 -8.8101e+01  4.2566e+02  1.1455e+00  7.6394e-01 -2.9810e+03  4.3596e+03  4.8531e+00  4.9259e-05  1.3875e+06  1.3876e+06
melivari	 F_As	 46561	     16	   55.5	    698	-1.8713	  6.9460e-01  2.9485e+01  2.0990e+01  4.4417e+00 -4.9958e+01  1.2824e+02  3.3198e+00  2.9355e-01  1.4937e+02  2.7852e+02  1.2359e+00  2.6764e-04  4.0112e+05  4.0122e+05
meloflor	 M_Ne	 165888	     16	   90.5	   1424	-2.5104	  3.4136e-01 -2.1774e+01  7.8383e+01  2.1991e+00 -7.3256e+01  1.1659e+02  3.0000e+01  2.8878e-01 -9.5417e+01  3.2570e+02  2.8676e+00  1.8573e-04  1.9170e+06  1.9171e+06
melohapl	 M_Ne	 72587	     16	   53.6	   1317	-2.2735	  5.1371e-01 -7.8600e+01  1.2191e+02  3.0000e+01 -6.0106e+01  1.4467e+02  3.2194e+00  2.2310e-01 -1.1447e+02  3.5874e+02  2.8806e+00  3.5735e-04  7.5872e+05  7.5883e+05
meloinco	 M_Ne	 103631	     38	   81.5	   2597	-2.4388	  4.8752e-01  3.3892e+01  1.0110e+01  2.6812e+00  3.4192e+00  1.5472e+02  1.4802e+00  3.0296e-01  1.4273e+00  3.3488e+02  3.0959e+00  3.4803e-04  1.1636e+06  1.1637e+06
meloundu	 M_Av	 134988	     29	  937.0	  76666	-3.7229	  1.0050e-01  5.5416e+01  3.7868e+01  1.5516e+00 -1.1460e+02  8.8006e+02  1.1614e+00  2.3304e-05  2.3143e+06  2.3144e+06
meronubi	 M_Av	 106597	     28	  927.1	  34572	-3.6465	  8.8283e-02  6.3886e+01  3.8445e+01  1.1640e+00 -2.0722e+02  9.6366e+02  1.4528e+00  3.0162e-05  1.7899e+06  1.7899e+06
mesiunic	 M_Av	 112944	     30	  881.4	  33408	-3.6245	  1.0314e-01  6.1169e+01  4.0504e+01  1.2381e+00 -2.0192e+02  9.3323e+02  1.4486e+00  2.9456e-05  1.8848e+06  1.8849e+06
mesoaura	 M_Mm	 173296	     30	 1361.1	 147247	-3.9074	  9.1997e-02  5.3070e+01  3.6032e+01  2.1879e+00 -3.7913e+01  3.5699e+02  1.3780e+00  2.6102e-01 -1.5653e+02  1.8506e+03  1.1129e+00  1.7071e-05  3.1184e+06  3.1185e+06
mesocort	 M_Pl	 27969	     16	  292.5	   7429	-3.0506	  1.3081e-01 -7.4018e+01  1.0809e+02  3.0000e+01 -3.4409e+01  1.0729e+02  1.3954e+01  1.5610e-01 -2.0912e+02  5.5342e+02  1.8884e+00  1.3006e-04  3.9332e+05  3.9341e+05
metaacri	 F_As	 16443	     29	   69.9	   1167	-2.1961	  5.4805e-01 -2.2763e+00  6.1037e+01  7.3292e+00 -1.4569e+01  1.0562e+02  1.8628e+00  4.0290e-04  1.6623e+05  1.6629e+05
metaocci	 M_Ar	 54205	     30	  136.2	  17393	-2.7579	  6.8001e-01  1.9130e+01  8.6812e+01  3.3471e+00 -2.9536e+01  2.9427e+02  1.2002e+00  2.2505e-01 -1.3985e+02  1.1347e+03  1.2176e+00  1.1122e-04  6.8839e+05  6.8849e+05
metarobe	 F_As	 17544	     29	   68.5	   1014	-2.1468	  5.8892e-01 -8.6834e+00  6.7425e+01  8.1902e+00 -1.7263e+01  1.0821e+02  1.9529e+00  3.7335e-04  1.7341e+05  1.7347e+05
metsbicu	 F_As	 1471	     16	   98.6	   5208	-2.6665	  1.0000e+00 -1.3074e+00  7.5578e+01  1.2511e+00  2.3063e-03  1.8050e+04  1.8065e+04
micrcani	 F_As	 19630	     16	   65.0	    453	-1.9579	  7.0096e-01  1.9863e-01  5.9331e+01  7.5689e+00 -5.1417e+01  1.2110e+02  2.8600e+00  3.4784e-04  1.7701e+05  1.7706e+05
micrdemo	 M_In	 54649	     19	  170.5	  63313	-3.0740	  4.5215e-01  1.8556e+01  5.5053e+01  4.2534e+00 -2.4053e+01  4.7436e+02  9.5867e-01  8.9964e-05  7.7283e+05  7.7289e+05
micrmuri	 M_Mm	 233039	     21	 1579.5	 340221	-4.0282	  2.0097e-01  6.3793e+01  7.3492e+01  7.3351e-01 -1.5697e+02  1.5625e+03  9.5786e-01  1.5874e-05  4.3160e+06  4.3160e+06
microchr	 M_Mm	 183962	     25	 1384.0	 119596	-3.8907	  1.1035e-01  5.5429e+01  3.6770e+01  1.7691e+00 -4.5332e+02  7.0507e+02  5.3197e+00  1.3156e-01 -1.9886e+02  1.6715e+03  1.1746e+00  1.7350e-05  3.2982e+06  3.2983e+06
microssp	 F_As	 12311	     19	   86.9	    755	-2.0350	  7.8508e-01 -2.3268e+02  3.1345e+02  2.9858e+01 -7.9745e+01  1.8378e+02  2.4778e+00  4.1703e-04  1.1540e+05  1.1545e+05
micrpusi	 P_Ch	 9489	     19	  164.5	   1219	-2.5206	  5.3147e-01 -3.8591e+01  1.3915e+02  2.1175e+00 -5.7904e+02  7.3450e+02  2.1613e+01  3.6347e-01 -3.3417e+01  2.1970e+02  3.0000e+01  1.2719e-03  1.1009e+05  1.1016e+05
micrspec	 F_Ba	 3615	     30	  172.5	  12466	-2.5727	  6.2311e-01 -1.9200e+02  2.9811e+02  5.7445e+00  2.2895e+01  1.6139e+02  1.2647e+01  2.6468e-01  1.2111e+02  1.3406e+02  6.8281e-01  2.0158e-03  4.2625e+04  4.2693e+04
micrtrig	 F_As	 27425	     16	   66.7	    903	-2.0420	  7.4782e-01  3.1459e+01  2.8212e+01  2.9009e+00 -7.0793e+00  8.6780e+01  1.6671e+00  2.7278e-04  2.5787e+05  2.5793e+05
mimugutt	 P_Eu	 116795	     16	  129.4	   2362	-2.6809	  5.5436e-01  2.1716e+01  7.0938e+01  4.1729e+00 -4.4861e+02  7.5675e+02  3.4175e+00  8.9466e-05  1.4443e+06  1.4444e+06
mixiosmu	 F_Ba	 25218	     16	   52.7	    416	-1.5051	  8.9262e-01 -6.5508e+01  1.1574e+02  3.0000e+01 -1.3693e+01  8.6240e+01  1.8950e+00  1.1850e-03  1.7426e+05  1.7432e+05
mnemleid	 M_Ct	 74248	     22	  276.7	  12859	-3.1583	  6.6283e-01  2.8321e+01  1.4560e+02  2.0696e+00 -5.2948e+02  1.1091e+03  2.6264e+00  1.9108e-01 -1.2075e+03  2.8999e+03  2.1711e+00  4.9345e-05  1.0808e+06  1.0809e+06
monahapt	 F_As	 25251	     23	   69.5	   1694	-1.9598	  9.0591e-01  2.5528e+01  3.8115e+01  3.6607e+00 -3.1503e+00  1.4945e+02  1.1969e+00  2.6515e-04  2.2783e+05  2.2788e+05
monapurp	 F_As	 23145	     17	   66.8	    766	-1.9715	  8.5783e-01  2.5262e+01  3.5870e+01  3.3363e+00 -9.8386e+00  7.9375e+01  1.4635e+00  3.3575e-04  2.1006e+05  2.1012e+05
monarube	 F_As	 25300	     16	   66.8	    658	-1.9663	  8.4718e-01  2.3192e+01  3.7826e+01  3.5633e+00 -1.6285e+01  8.8966e+01  1.6840e+00  3.1368e-04  2.2906e+05  2.2912e+05
monipern	 F_Ba	 31829	     16	   55.4	    263	-1.6613	  7.7612e-01 -7.2519e+01  1.2485e+02  3.0000e+01 -1.0172e+02  1.6765e+02  4.8751e+00  7.7389e-04  2.4311e+05  2.4317e+05
monobrev	 O_Op	 121016	     16	  113.7	   1610	-2.3496	  7.3891e-01 -1.0456e+02  2.0429e+02  9.3575e+00 -5.6500e+01  1.8659e+02  1.8076e+00  2.6055e-01 -3.2627e+02  9.6307e+02  2.8889e+00  1.5189e-04  1.3097e+06  1.3098e+06
monodome	 M_Mm	 226233	     27	 2059.3	 490930	-4.1557	  1.8256e-01  6.5736e+01  9.8306e+01  6.9172e-01 -2.0316e+02  1.9420e+03  9.3987e-01  1.4137e-05  4.3211e+06  4.3212e+06
mononegl	 P_Ch	 66847	     23	  254.1	   1653	-2.6865	  3.4044e-01 -1.8246e+02  4.0669e+02  2.7961e+00 -1.5621e+03  1.7874e+03  3.0000e+01  9.5280e-05  8.2678e+05  8.2684e+05
monophar	 M_In	 73081	     30	  266.9	  86788	-3.2442	  2.6682e-01 -5.6226e+01  1.3499e+02  1.0601e+01 -3.4324e+01  2.1037e+02  1.9594e+00  3.2392e-01 -3.0985e+01  7.4450e+02  9.2444e-01  5.9452e-05  1.0912e+06  1.0913e+06
morcconi	 F_As	 38469	     17	   67.2	    762	-2.0279	  7.6530e-01  2.9905e+01  2.9846e+01  3.1184e+00 -2.1134e+01  1.1340e+02  1.9900e+00  1.6645e-04  3.5926e+05  3.5932e+05
mortelon	 F_Fu	 39074	     16	  119.8	   1936	-2.4157	  6.5520e-01  4.5549e+01  5.8849e+01  3.7529e+00 -9.1529e+01  2.5679e+02  2.1461e+00  3.3298e-01 -7.4891e+01  1.0227e+03  3.4807e+00  1.4308e-04  4.3465e+05  4.3474e+05
morunota	 P_Eu	 96193	     23	  224.2	   5584	-2.9513	  3.6145e-01  2.7513e+01  6.9798e+01  3.5302e+00 -1.1381e+02  4.0764e+02  1.8166e+00  6.0324e-01 -1.8770e+02  9.0400e+02  4.2714e+00  5.8166e-05  1.3070e+06  1.3071e+06
mucocirc	 F_Fu	 32689	     16	   61.2	    846	-1.7088	  8.7068e-01 -1.1155e+02  1.6939e+02  3.0000e+01 -1.1041e+01  9.4329e+01  1.4654e+00  3.5422e-04  2.5683e+05  2.5689e+05
mus_musc	 M_Mm	 280726	     23	 1520.1	 274050	-3.9939	  2.0024e-01  6.4536e+01  6.6603e+01  7.3936e-01 -1.6561e+02  1.5221e+03  9.9367e-01  1.4879e-05  5.1565e+06  5.1566e+06
musaacum	 P_Mo	 10167	     17	  253.6	   8603	-3.0904	  3.0185e-01 -1.8986e+02  2.7345e+02  2.3895e+01 -1.2357e+01  1.4640e+02  2.7124e+00  2.1447e-01 -6.1715e+02  1.3767e+03  2.4017e+00  1.8327e-04  1.4489e+05  1.4496e+05
muscdome	 M_In	 77049	     16	  104.8	 121934	-3.1144	  4.6082e-01 -3.3204e+01  9.5158e+01  1.5389e+01 -2.6039e+01  1.7405e+02  1.5940e+00  1.9610e-01 -5.8472e+02  3.3777e+03  1.1758e+00  6.1185e-05  1.1044e+06  1.1045e+06
mustputo	 M_Mm	 209849	     29	 1473.3	 318948	-3.9965	  2.0237e-01  6.5816e+01  6.7943e+01  7.3421e-01 -1.3320e+02  1.4495e+03  9.5553e-01  1.6872e-05  3.8559e+06  3.8560e+06
mycether	 F_As	 16206	     17	   78.2	   1009	-2.2029	  7.5449e-01  4.2009e+01  2.4010e+01  1.3584e+00 -1.3608e+02  2.2037e+02  5.4135e+00  3.9553e-04  1.6446e+05  1.6451e+05
mycofiji	 F_As	 17741	     16	   55.1	   1742	-2.0895	  3.0212e-01 -3.9252e+01  6.9241e+01  9.7689e+00 -8.1673e+01  1.3504e+02  2.8524e+01  4.1980e-01  3.6219e+01  5.1654e+01  1.1465e+00  6.5265e-04  1.7050e+05  1.7059e+05
mycogram	 F_As	 17367	     18	   62.3	   1496	-2.1301	  6.0561e-01  3.0914e+01  2.3322e+01  4.6444e+00 -2.1720e+01  1.3468e+02  1.8009e+00  3.4086e-04  1.7033e+05  1.7038e+05
myotbran	 M_Mm	 184417	     30	 1417.5	 132447	-3.9284	  9.8305e-02  6.0919e+01  3.6797e+01  1.3487e+00 -2.9741e+02  5.7576e+02  3.5122e+00  1.2533e-01 -3.1937e+02  1.7829e+03  1.1698e+00  1.6128e-05  3.3411e+06  3.3412e+06
myotdavi	 M_Mm	 164515	     22	 1401.2	 118208	-3.9135	  9.5888e-02  5.9674e+01  3.6666e+01  1.4449e+00 -2.9819e+02  5.7516e+02  3.4449e+00  1.3271e-01 -3.2392e+02  1.7820e+03  1.1997e+00  1.7788e-05  2.9703e+06  2.9704e+06
myotluci	 M_Mm	 189453	     29	 1404.7	 151801	-3.9360	  5.0952e-02 -2.4965e+02  3.3564e+02  3.0000e+01  2.0608e+01  1.5648e+02  1.5061e+00  1.4028e-01 -2.6614e+02  1.6297e+03  1.1208e+00  1.6867e-05  3.4261e+06  3.4262e+06
myriduri	 F_As	 15993	     17	   54.5	    621	-1.6640	  7.8951e-01 -6.0648e+01  1.1225e+02  3.0000e+01 -5.5725e+00  8.0697e+01  1.8195e+00  5.7288e-04  1.2246e+05  1.2251e+05
myroinun	 F_As	 29582	     16	   61.0	    845	-1.9618	  7.1557e-01  2.8192e+01  2.7190e+01  3.8460e+00 -2.7261e+00  7.7848e+01  1.6886e+00  3.0378e-04  2.6721e+05  2.6727e+05
mytiresi	 F_As	 37078	     16	   58.1	    743	-1.9378	  7.0362e-01  3.2753e+01  1.9775e+01  3.5433e+00 -1.9226e+01  1.0416e+02  2.0470e+00  2.5474e-04  3.3085e+05  3.3090e+05
nadsfulv	 F_As	 3812	     16	   92.8	   1861	-2.4436	  5.0727e-01  7.1356e+00  6.5747e+01  3.8692e+00 -3.6485e+01  1.4316e+02  1.7744e+00  8.0961e-04  4.2907e+04  4.2951e+04
naegfowl	 O_He	 8538	     22	   96.6	    668	-2.3147	  4.7668e-01  4.4211e+01  1.4924e+01  1.2483e+00 -2.8153e+02  3.9960e+02  8.0154e+00  7.5605e-04  9.0910e+04  9.0959e+04
naeggrub	 O_He	 10906	     18	   58.8	   3995	-2.2979	  4.1264e-01 -1.8908e+01  6.2915e+01  1.4348e+01 -5.2517e+01  1.2507e+02  3.2225e+00  4.8494e-01 -8.3650e+01  5.0275e+02  1.4312e+00  3.6473e-04  1.1541e+05  1.1549e+05
naiaflui	 F_Ba	 55433	     16	   78.9	    708	-2.0257	  1.4354e-01 -1.2778e+01  8.3905e+01  1.5536e+00  1.1670e+01  6.0962e+01  4.6782e+00  1.7142e-04  5.1698e+05  5.1704e+05
nanngadi	 O_St	 16410	     41	  157.7	    747	-2.5293	  5.2838e-02  3.9094e+01  8.3294e+00  9.4061e-01 -4.0160e+02  4.9853e+02  1.7334e+01  3.7731e-01 -3.3706e+01  2.1394e+02  3.7926e+00  3.3409e-04  1.9111e+05  1.9120e+05
nanngali	 M_Mm	 182016	     30	 1514.0	 230371	-3.9717	  2.2382e-01  6.3732e+01  6.4727e+01  7.2888e-01 -2.2131e+02  1.6302e+03  1.0430e+00  2.0965e-05  3.3256e+06  3.3256e+06
nasogira	 M_In	 4889	     16	   87.2	  10147	-2.4927	  5.7534e-01 -1.6664e+02  2.4239e+02  3.0000e+01 -2.8958e+01  2.2656e+02  1.1659e+00  6.4279e-04  5.6120e+04  5.6165e+04
nasovitr	 M_In	 134160	     16	   90.9	  51632	-2.6959	  5.2442e-01 -1.9421e+02  2.6906e+02  3.0000e+01  1.0737e+01  2.1551e+02  8.3046e-01  1.3715e-04  1.6635e+06  1.6636e+06
necaamer	 M_Ne	 205935	     16	  140.3	   7829	-2.9280	  5.3801e-01  4.2598e+01  2.1423e+01  1.3775e+00 -6.6441e+02  9.9406e+02  4.1046e+00  2.8797e-01 -1.6055e+03  3.0551e+03  3.1726e+00  9.3665e-05  2.7837e+06  2.7838e+06
necthaem	 F_As	 32806	     16	   55.4	    727	-1.9143	  6.0627e-01 -1.4118e+00  5.2339e+01  1.1787e+01 -2.8456e+00  6.8410e+01  1.8419e+00  3.5217e-04  2.8918e+05  2.8924e+05
nelunuci	 P_Eu	 137714	     30	  332.9	  34469	-3.3825	  4.6042e-01  4.6223e+01  5.5132e+01  1.9972e+00 -1.8330e+02  8.8634e+02  1.3547e+00  4.3649e-01 -2.0060e+04  2.7321e+04  5.7146e+00  2.6635e-05  2.1452e+06  2.1453e+06
nemapari	 F_Mi	 2	     29	   56.0	      1	-1.0325	  1.0000e+00  2.8900e+01  2.7167e+01  1.2770e+01  4.2235e-01  9.5059e+00  5.5853e+00
nemavect	 M_Cn	 214828	     16	  439.8	   9622	-3.2600	  9.9687e-02  4.4456e+01  3.9177e+01  2.0839e+00 -1.5024e+02  5.2447e+02  1.7747e+00  5.1161e-05  3.2260e+06  3.2260e+06
neodleco	 M_In	 70165	     29	  179.1	  36057	-3.0666	  1.3062e-01 -3.2224e+01  1.1625e+02  1.1612e+01  4.4120e+01  7.3992e+01  1.0217e+00  6.1803e-01 -1.5918e+02  9.4969e+02  1.1426e+00  5.4234e-05  9.9073e+05  9.9083e+05
neofparv	 F_As	 21788	     46	   61.2	    747	-2.0733	  8.1455e-01  4.1353e+01  1.3392e+01  1.7224e+00 -3.5249e+03  3.7622e+03  2.9880e+01  7.6335e-04  2.0794e+05  2.0800e+05
neolbric	 M_Fs	 203845	     25	  373.2	  45336	-3.3505	  1.7152e-01 -2.4120e+02  3.2886e+02  3.0000e+01  4.6799e+01  9.9145e+01  1.2000e+00  3.5535e-01 -2.0251e+02  1.1229e+03  1.2401e+00  2.3886e-05  3.1440e+06  3.1441e+06
neollepi	 F_Ba	 79013	     16	   56.4	    380	-1.6145	  8.8523e-01  9.4952e+00  4.3970e+01  8.8862e+00 -2.4487e+01  9.7013e+01  2.1808e+00  3.4344e-04  5.8718e+05  5.8725e+05
neoscani	 O_Al	 36096	     16	  432.7	   1458	-2.9589	  1.0000e+00 -3.6516e+03  4.0050e+03  2.1743e+01  2.2175e-04  4.9132e+05  4.9134e+05
neosfisc	 F_As	 20462	     16	   59.4	    406	-1.8473	  8.3671e-01  2.4271e+00  5.1977e+01  6.8224e+00 -1.0086e+02  1.9108e+02  3.5612e+00  6.1214e-04  1.7408e+05  1.7414e+05
nestnota	 M_Av	 116001	     30	  917.0	  37855	-3.6514	  9.5640e-02  6.2589e+01  3.8849e+01  1.1550e+00 -1.8744e+02  9.4157e+02  1.4063e+00  2.8087e-05  1.9504e+06  1.9505e+06
neurcras	 F_As	 17778	     21	   76.3	    823	-2.1987	  7.8998e-01  3.4441e+01  3.0217e+01  2.2947e+00 -1.6741e+02  3.2993e+02  3.4760e+00  3.1721e-04  1.8000e+05  1.8006e+05
neurdisc	 F_As	 18024	     16	   77.4	   1131	-2.2863	  4.9059e-01  2.4303e+01  3.8723e+01  3.9067e+00 -3.0650e+01  1.2264e+02  2.0546e+00  3.2861e-04  1.8975e+05  1.8981e+05
neurtetr	 F_As	 18362	     16	   78.7	   1565	-2.3248	  5.0456e-01  2.9821e+01  3.2798e+01  3.2310e+00 -1.9789e+01  1.1935e+02  1.7756e+00  2.6647e-04  1.9658e+05  1.9664e+05
nicosylv	 P_Eu	 158131	     19	  307.1	  12818	-3.1608	  2.9743e-01  2.6396e+01  6.3233e+01  4.1560e+00 -6.0073e+01  2.1307e+02  2.3218e+00  2.2373e-01 -2.0720e+02  9.0913e+02  1.7129e+00  3.5306e-05  2.3019e+06  2.3020e+06
nicotome	 P_Eu	 150979	     27	  299.3	  12071	-3.1431	  3.1455e-01  3.0312e+01  5.9926e+01  3.7409e+00 -3.5189e+01  2.1084e+02  1.7682e+00  2.5403e-01 -1.8140e+02  8.9915e+02  1.7198e+00  3.3552e-05  2.1854e+06  2.1855e+06
niesexil	 F_As	 26446	     16	   57.6	    960	-1.8780	  8.1362e-01  2.6794e+01  2.6362e+01  4.1046e+00 -2.6183e+01  1.1655e+02  1.6879e+00  3.7918e-04  2.2862e+05  2.2868e+05
nilaluge	 M_In	 33117	     16	 1674.9	  46933	-3.8705	  1.0000e+00 -4.1510e+02  1.6998e+03  1.5918e+00  5.7813e-05  5.9079e+05  5.9081e+05
nippbras	 M_Ne	 88763	     16	  132.0	   5520	-2.8556	  4.6101e-01  4.4532e+01  1.7431e+01  1.4338e+00 -4.9632e+01  1.8225e+02  1.9259e+00  2.1906e-01 -1.8175e+02  8.5071e+02  2.2287e+00  1.1663e-04  1.1662e+06  1.1663e+06
nippnipp	 M_Av	 140453	     29	  982.8	  76492	-3.7404	  9.2865e-02  5.4522e+01  4.1606e+01  1.6129e+00 -1.3587e+02  9.2290e+02  1.1763e+00  2.2495e-05  2.4190e+06  2.4191e+06
nomaleuc	 M_Mm	 185780	     29	 1771.2	 319954	-4.0623	  2.0178e-01  6.4288e+01  7.8313e+01  7.1234e-01 -2.4330e+02  1.8152e+03  1.0022e+00  1.8317e-05  3.4718e+06  3.4719e+06
nothfurz	 M_Fs	 198802	     20	  281.7	  91773	-3.3099	  2.7824e-01 -1.9296e+02  2.7128e+02  2.9998e+01  4.0887e+01  9.3030e+01  1.6859e+00  2.4351e-01 -1.2811e+02  1.1614e+03  1.0423e+00  2.3572e-05  3.0339e+06  3.0340e+06
notocori	 M_Fs	 171348	     21	  428.8	  28259	-3.3052	  2.9780e-01  5.3879e+01  4.8704e+01  1.6450e+00  6.7700e+01  1.8990e+01  2.8397e+00  4.7243e-02 -9.3257e+01  6.5200e+02  1.2917e+00  2.9293e-05  2.6087e+06  2.6088e+06
obbarivu	 F_Ba	 77002	     16	   56.0	    406	-1.5914	  8.8209e-01 -4.2472e+00  5.7416e+01  1.2551e+01 -2.6114e+01  9.9517e+01  2.1363e+00  4.0769e-04  5.6413e+05  5.6419e+05
ochoprin	 M_Mm	 167442	     27	 1207.2	 158224	-3.8695	  1.1086e-01  5.1950e+01  3.9319e+01  2.1954e+00 -3.8263e+01  3.5777e+02  1.3069e+00  2.9552e-01 -1.5690e+02  1.8506e+03  1.0773e+00  1.7740e-05  2.9837e+06  2.9838e+06
octobima	 M_Mo	 234484	     16	 1707.3	 114340	-3.9904	  2.3280e-02 -8.0929e+02  9.1530e+02  3.0000e+01 -3.2845e+02  1.6023e+03  1.2345e+00  2.0148e-05  4.3141e+06  4.3142e+06
octodegu	 M_Mm	 167970	     30	 1349.3	 190780	-3.9202	  1.0163e-01  5.0873e+01  3.7736e+01  2.1656e+00 -3.8146e+01  3.5795e+02  1.2621e+00  2.6300e-01 -1.5687e+02  1.8505e+03  1.0482e+00  1.7443e-05  3.0338e+06  3.0339e+06
odobrosm	 M_Mm	 182252	     29	 1367.6	 140700	-3.9152	  1.0822e-01  6.0201e+01  3.6291e+01  1.4683e+00 -2.9520e+02  5.7658e+02  3.5193e+00  1.4699e-01 -2.9432e+02  1.7885e+03  1.1450e+00  1.6521e-05  3.2989e+06  3.2990e+06
oesodent	 M_Ne	 107666	     16	   75.7	   5929	-2.5441	  7.0052e-01  4.2019e+01  1.6715e+01  1.4867e+00 -3.4815e+02  7.9259e+02  1.9850e+00  2.9349e-04  1.2647e+06  1.2647e+06
oidimaiu	 F_As	 13536	     17	   57.8	    877	-1.9488	  6.9513e-01  3.3051e+01  1.9253e+01  3.0863e+00  1.1561e+00  7.0190e+01  1.6260e+00  3.5456e-04  1.2150e+05  1.2155e+05
ompholea	 F_Ba	 50222	     17	   56.2	    883	-1.6478	  8.6219e-01 -8.6685e+01  1.3998e+02  3.0000e+01  5.8438e+00  7.7690e+01  1.3606e+00  2.8222e-04  3.8082e+05  3.8088e+05
onchflex	 M_Ne	 57373	     16	  220.4	   1468	-2.7837	  1.5929e-02 -3.7024e+02  4.0680e+02  2.9226e+01 -3.8942e+01  1.4119e+02  4.0858e+00  3.2342e-01 -1.2912e+02  3.7412e+02  3.3658e+00  1.1208e-04  7.3533e+05  7.3543e+05
onchoche	 M_Ne	 80495	     30	  246.5	   1773	-2.8274	  2.8814e-01  1.1023e+01  9.5620e+01  2.4079e+00 -1.4521e+02  3.9873e+02  3.1881e+00  9.0756e-05  1.0481e+06  1.0482e+06
